customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,1,False,False,28,True,True,DSL,False,True,False,False,False,True,Two year,True,Bank transfer (automatic),112.17,3140.76,False
CUST-00001,Female,1,False,True,39,False,True,Fiber optic,True,True,True,False,False,True,Month-to-month,True,Mailed check,33.65,1312.35,False
CUST-00002,Female,0,True,True,32,False,True,No,True,True,False,True,False,False,Two year,False,Electronic check,112.13,3588.16,False
CUST-00003,Female,1,False,True,53,True,False,No,False,True,False,True,True,True,One year,False,Bank transfer (automatic),89.38,4737.14,False
CUST-00004,Male,0,False,True,7,True,True,No,True,False,False,False,False,True,One year,True,Credit card (automatic),38.16,267.12,False
CUST-00005,Female,1,False,True,44,True,False,Fiber optic,False,False,True,False,True,False,Two year,False,Credit card (automatic),51.06,2246.64,False
CUST-00006,Female,1,False,False,31,False,False,No,True,False,True,False,True,False,One year,True,Bank transfer (automatic),52.35,1622.85,False
CUST-00007,Female,0,True,False,19,False,False,Fiber optic,False,False,True,False,True,False,One year,True,Mailed check,58.99,1120.81,True
CUST-00008,Female,0,True,True,64,False,False,No,True,True,True,True,False,False,One year,False,Bank transfer (automatic),113.9,7289.6,True
CUST-00009,Male,1,True,True,27,True,True,Fiber optic,True,False,False,True,False,False,One year,False,Mailed check,20.6,556.2,False
CUST-00010,Male,0,True,False,67,True,True,No,False,False,False,True,True,False,Month-to-month,False,Mailed check,32.12,2152.04,False
CUST-00011,Male,0,True,True,49,False,False,DSL,True,False,False,True,True,True,Two year,False,Electronic check,98.86,4844.14,False
CUST-00012,Female,0,True,True,57,True,False,No,False,True,False,True,False,True,Month-to-month,False,Mailed check,24.76,1411.32,False
CUST-00013,Female,0,True,False,71,False,False,No,False,False,True,False,False,False,One year,True,Bank transfer (automatic),49.84,3538.64,False
CUST-00014,Male,1,False,True,42,True,False,DSL,False,False,True,True,True,True,Two year,False,Credit card (automatic),25.75,1081.5,False
CUST-00015,Male,0,True,True,3,True,False,Fiber optic,False,False,False,True,True,False,One year,True,Bank transfer (automatic),49.29,147.87,False
CUST-00016,Male,0,True,True,35,True,False,DSL,False,False,False,True,True,False,Month-to-month,True,Bank transfer (automatic),53.81,1883.35,False
CUST-00017,Male,1,False,False,57,False,True,Fiber optic,True,False,True,False,True,True,One year,False,Electronic check,94.14,5365.98,False
CUST-00018,Female,0,False,False,67,True,True,DSL,True,False,True,True,False,False,Month-to-month,False,Mailed check,83.28,5579.76,True
CUST-00019,Female,0,False,True,26,False,False,DSL,False,True,False,True,False,True,One year,True,Bank transfer (automatic),59.4,1544.4,True
CUST-00020,Male,0,True,True,71,True,False,No,False,False,True,False,False,True,Month-to-month,True,Electronic check,25.42,1804.82,False
CUST-00021,Female,0,False,True,31,False,True,Fiber optic,True,False,False,True,True,False,Month-to-month,False,Mailed check,52.23,1619.13,False
CUST-00022,Male,0,True,False,66,True,False,No,True,True,False,True,True,False,One year,True,Mailed check,102.17,6743.22,False
CUST-00023,Female,0,False,False,65,False,True,DSL,False,True,True,True,False,True,Two year,True,Mailed check,100.42,6527.3,False
CUST-00024,Female,0,False,True,49,False,True,No,True,False,True,True,True,False,Month-to-month,True,Credit card (automatic),75.82,3715.18,True
CUST-00025,Female,0,True,True,32,False,True,Fiber optic,False,True,False,False,True,True,Two year,False,Credit card (automatic),47.25,1512.0,False
CUST-00026,Female,0,True,False,22,False,False,DSL,True,True,False,False,False,False,One year,True,Bank transfer (automatic),50.26,1105.72,False
CUST-00027,Female,0,False,False,57,True,True,No,False,True,False,False,False,True,Month-to-month,True,Mailed check,99.24,5656.68,False
CUST-00028,Female,0,False,False,46,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Mailed check,30.69,1411.74,False
CUST-00029,Female,0,False,False,68,True,True,Fiber optic,False,True,True,True,True,False,One year,True,Mailed check,54.17,3683.56,True
CUST-00030,Male,0,False,False,60,True,False,Fiber optic,True,False,True,False,False,True,One year,False,Credit card (automatic),54.79,3287.4,False
CUST-00031,Female,1,False,False,48,True,False,Fiber optic,False,True,True,True,True,True,Month-to-month,False,Bank transfer (automatic),95.59,4588.32,False
CUST-00032,Male,0,False,False,52,True,True,No,False,True,True,False,True,False,Month-to-month,False,Bank transfer (automatic),74.81,3890.12,False
CUST-00033,Female,1,False,True,15,False,True,DSL,True,False,True,True,True,True,One year,False,Electronic check,80.65,1209.75,False
CUST-00034,Male,0,False,False,48,True,False,Fiber optic,True,False,True,True,True,False,Month-to-month,True,Credit card (automatic),106.09,5092.32,False
CUST-00035,Female,0,True,False,15,True,True,Fiber optic,False,False,False,False,True,False,One year,True,Credit card (automatic),29.77,446.55,False
CUST-00036,Male,0,True,True,6,False,True,DSL,False,True,True,False,True,False,Two year,True,Electronic check,27.9,167.4,False
CUST-00037,Male,1,True,True,3,False,True,DSL,False,True,True,False,False,False,One year,False,Mailed check,70.25,210.75,True
CUST-00038,Female,0,True,False,29,True,True,Fiber optic,True,False,False,True,False,True,Two year,False,Mailed check,101.18,2934.22,False
CUST-00039,Male,1,True,False,46,False,True,Fiber optic,False,True,False,True,False,False,One year,True,Electronic check,47.38,2179.48,False
CUST-00040,Female,0,False,True,46,True,True,Fiber optic,True,False,False,True,False,True,Month-to-month,True,Electronic check,67.79,3118.34,False
CUST-00041,Female,0,False,True,52,True,False,Fiber optic,False,True,False,True,False,True,One year,True,Bank transfer (automatic),84.68,4403.36,False
CUST-00042,Male,0,False,False,44,False,True,DSL,True,True,True,False,False,False,One year,False,Electronic check,38.13,1677.72,True
CUST-00043,Female,0,False,False,50,True,True,No,True,False,False,False,False,False,Two year,False,Bank transfer (automatic),111.66,5583.0,False
CUST-00044,Male,0,True,False,70,True,True,No,False,True,True,True,False,False,Two year,True,Electronic check,43.14,3019.8,False
CUST-00045,Female,0,False,False,47,False,True,No,False,False,False,True,True,True,One year,False,Bank transfer (automatic),68.0,3196.0,False
CUST-00046,Female,0,False,False,72,True,False,Fiber optic,False,False,False,True,False,False,Month-to-month,False,Credit card (automatic),52.92,3810.24,True
CUST-00047,Female,0,False,False,2,True,True,Fiber optic,False,True,False,False,False,False,Two year,False,Mailed check,101.52,203.04,False
CUST-00048,Female,1,True,True,27,False,True,Fiber optic,True,False,True,True,True,False,Two year,False,Credit card (automatic),82.82,2236.14,False
CUST-00049,Female,0,True,True,72,False,True,Fiber optic,False,True,False,True,True,False,One year,True,Mailed check,70.74,5093.28,False
CUST-00050,Male,1,True,False,66,True,True,No,False,False,True,True,False,False,Month-to-month,True,Credit card (automatic),100.87,6657.42,True
CUST-00051,Male,0,False,False,71,False,True,No,True,True,False,False,True,False,Two year,True,Electronic check,95.15,6755.65,False
CUST-00052,Male,0,False,True,43,True,True,DSL,False,False,True,True,False,False,Two year,False,Mailed check,105.97,4556.71,False
CUST-00053,Male,0,True,True,23,True,True,No,True,False,False,True,False,True,One year,True,Credit card (automatic),95.96,2207.08,False
CUST-00054,Male,1,False,True,61,False,False,No,False,True,True,False,True,True,One year,False,Electronic check,67.72,4130.92,False
CUST-00055,Male,0,True,False,13,True,False,DSL,False,False,False,False,False,False,Two year,True,Bank transfer (automatic),23.7,308.1,False
CUST-00056,Female,1,False,True,20,False,True,DSL,False,False,True,True,True,False,Two year,True,Credit card (automatic),98.22,1964.4,False
CUST-00057,Female,0,False,True,49,False,False,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),66.41,3254.09,False
CUST-00058,Male,1,False,False,21,False,True,DSL,False,True,True,True,False,True,Two year,True,Credit card (automatic),46.51,976.71,False
CUST-00059,Female,0,False,False,45,True,True,No,False,True,False,True,False,False,Two year,True,Electronic check,38.03,1711.35,False
CUST-00060,Male,0,False,True,38,False,True,DSL,True,False,True,True,False,False,One year,True,Mailed check,56.3,2139.4,False
CUST-00061,Female,0,False,False,52,True,True,Fiber optic,False,True,False,False,True,True,One year,True,Bank transfer (automatic),40.66,2114.32,False
CUST-00062,Male,1,False,False,41,False,True,No,True,True,False,True,True,True,One year,True,Bank transfer (automatic),111.94,4589.54,False
CUST-00063,Female,0,True,True,5,True,True,Fiber optic,False,True,False,True,False,True,One year,False,Credit card (automatic),20.94,104.7,False
CUST-00064,Male,0,True,True,60,False,True,DSL,True,True,True,False,True,True,Month-to-month,False,Electronic check,20.84,1250.4,False
CUST-00065,Female,0,True,True,1,True,True,Fiber optic,True,True,False,True,False,True,Month-to-month,False,Bank transfer (automatic),68.53,68.53,True
CUST-00066,Male,0,False,False,38,False,False,No,True,False,True,False,True,False,One year,False,Bank transfer (automatic),102.11,3880.18,True
CUST-00067,Female,0,True,False,26,False,True,Fiber optic,True,False,False,False,True,False,One year,True,Credit card (automatic),25.15,653.9,False
CUST-00068,Male,0,False,True,49,False,False,Fiber optic,True,True,True,True,False,True,Two year,False,Mailed check,37.05,1815.45,False
CUST-00069,Female,0,False,True,55,False,False,Fiber optic,False,True,True,True,False,True,One year,True,Electronic check,31.46,1730.3,False
CUST-00070,Male,0,True,False,43,True,True,No,False,True,True,True,True,False,Month-to-month,False,Mailed check,98.64,4241.52,False
CUST-00071,Male,0,True,False,46,False,False,DSL,False,True,True,False,False,True,Two year,True,Bank transfer (automatic),67.9,3123.4,False
CUST-00072,Male,0,True,False,30,False,False,Fiber optic,True,False,False,False,True,True,One year,False,Electronic check,20.27,608.1,False
CUST-00073,Male,0,False,True,64,False,False,No,True,True,False,True,True,False,Two year,True,Bank transfer (automatic),39.02,2497.28,False
CUST-00074,Female,0,True,False,9,False,False,DSL,True,False,True,False,False,False,Two year,True,Mailed check,110.18,991.62,False
CUST-00075,Female,0,False,False,19,False,False,No,True,False,True,False,True,False,Two year,True,Electronic check,71.71,1362.49,False
CUST-00076,Male,0,False,True,6,True,False,Fiber optic,False,False,True,True,False,True,Month-to-month,False,Mailed check,29.2,175.2,False
CUST-00077,Male,0,False,False,41,True,False,No,False,False,False,False,True,False,One year,False,Mailed check,81.47,3340.27,False
CUST-00078,Female,0,False,True,31,False,True,DSL,True,False,True,False,False,False,Two year,False,Electronic check,79.88,2476.28,False
CUST-00079,Female,0,False,False,70,False,False,No,False,True,True,True,False,True,One year,True,Bank transfer (automatic),105.58,7390.6,False
CUST-00080,Male,0,True,False,45,True,True,No,False,False,False,False,False,True,Two year,True,Credit card (automatic),84.2,3789.0,False
CUST-00081,Male,0,True,True,29,True,True,No,True,True,False,True,False,True,Month-to-month,True,Electronic check,33.99,985.71,False
CUST-00082,Male,0,False,False,44,True,False,DSL,False,False,True,True,True,True,One year,False,Credit card (automatic),52.49,2309.56,False
CUST-00083,Female,0,False,False,16,True,False,DSL,True,True,True,True,False,True,One year,False,Bank transfer (automatic),96.89,1550.24,False
CUST-00084,Female,0,False,False,56,True,False,Fiber optic,False,True,True,True,False,False,Month-to-month,False,Bank transfer (automatic),38.77,2171.12,False
CUST-00085,Female,0,True,True,1,True,False,No,True,True,False,True,True,True,Month-to-month,True,Credit card (automatic),39.88,39.88,False
CUST-00086,Male,0,False,False,35,True,False,DSL,False,False,True,False,False,False,Month-to-month,False,Electronic check,95.9,3356.5,False
CUST-00087,Female,0,False,True,66,True,True,DSL,False,False,False,True,True,True,One year,True,Mailed check,38.81,2561.46,False
CUST-00088,Female,1,True,False,13,False,True,Fiber optic,True,False,True,True,True,True,One year,False,Mailed check,109.03,1417.39,False
CUST-00089,Male,0,False,True,18,True,False,Fiber optic,False,True,False,True,False,False,Two year,False,Electronic check,76.31,1373.58,False
CUST-00090,Female,0,False,False,59,False,False,Fiber optic,False,False,True,False,True,True,Two year,True,Credit card (automatic),24.5,1445.5,False
CUST-00091,Female,0,False,True,17,False,True,No,False,True,False,True,True,True,Two year,False,Mailed check,29.08,494.36,False
CUST-00092,Female,0,False,False,11,False,True,DSL,True,True,False,True,False,True,Month-to-month,True,Mailed check,52.9,581.9,False
CUST-00093,Female,0,True,True,27,True,True,No,True,False,True,True,False,False,One year,False,Mailed check,85.16,2299.32,False
