customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,1,false,false,28,true,true,DSL,false,true,false,false,false,true,Two year,true,Bank transfer (automatic),112.17,3140.76,false
CUST-00001,Female,1,false,true,39,false,true,Fiber optic,true,true,true,false,false,true,Month-to-month,true,Mailed check,33.65,1312.35,false
CUST-00002,Female,0,true,true,32,false,true,No,true,true,false,true,false,false,Two year,false,Electronic check,112.13,3588.16,false
CUST-00003,Female,1,false,true,53,true,false,No,false,true,false,true,true,true,One year,false,Bank transfer (automatic),89.38,4737.14,false
CUST-00004,Male,0,false,true,7,true,true,No,true,false,false,false,false,true,One year,true,Credit card (automatic),38.16,267.12,false
CUST-00005,Female,1,false,true,44,true,false,Fiber optic,false,false,true,false,true,false,Two year,false,Credit card (automatic),51.06,2246.64,false
CUST-00006,Female,1,false,false,31,false,false,No,true,false,true,false,true,false,One year,true,Bank transfer (automatic),52.35,1622.85,false
CUST-00007,Female,0,true,false,19,false,false,Fiber optic,false,false,true,false,true,false,One year,true,Mailed check,58.99,1120.81,true
CUST-00008,Female,0,true,true,64,false,false,No,true,true,true,true,false,false,One year,false,Bank transfer (automatic),113.9,7289.6,true
CUST-00009,Male,1,true,true,27,true,true,Fiber optic,true,false,false,true,false,false,One year,false,Mailed check,20.6,556.2,false
CUST-00010,Male,0,true,false,67,true,true,No,false,false,false,true,true,false,Month-to-month,false,Mailed check,32.12,2152.04,false
CUST-00011,Male,0,true,true,49,false,false,DSL,true,false,false,true,true,true,Two year,false,Electronic check,98.86,4844.14,false
CUST-00012,Female,0,true,true,57,true,false,No,false,true,false,true,false,true,Month-to-month,false,Mailed check,24.76,1411.32,false
CUST-00013,Female,0,true,false,71,false,false,No,false,false,true,false,false,false,One year,true,Bank transfer (automatic),49.84,3538.64,false
CUST-00014,Male,1,false,true,42,true,false,DSL,false,false,true,true,true,true,Two year,false,Credit card (automatic),25.75,1081.5,false
CUST-00015,Male,0,true,true,3,true,false,Fiber optic,false,false,false,true,true,false,One year,true,Bank transfer (automatic),49.29,147.87,false
CUST-00016,Male,0,true,true,35,true,false,DSL,false,false,false,true,true,false,Month-to-month,true,Bank transfer (automatic),53.81,1883.35,false
CUST-00017,Male,1,false,false,57,false,true,Fiber optic,true,false,true,false,true,true,One year,false,Electronic check,94.14,5365.98,false
CUST-00018,Female,0,false,false,67,true,true,DSL,true,false,true,true,false,false,Month-to-month,false,Mailed check,83.28,5579.76,true
CUST-00019,Female,0,false,true,26,false,false,DSL,false,true,false,true,false,true,One year,true,Bank transfer (automatic),59.4,1544.4,true
CUST-00020,Male,0,true,true,71,true,false,No,false,false,true,false,false,true,Month-to-month,true,Electronic check,25.42,1804.82,false
CUST-00021,Female,0,false,true,31,false,true,Fiber optic,true,false,false,true,true,false,Month-to-month,false,Mailed check,52.23,1619.13,false
CUST-00022,Male,0,true,false,66,true,false,No,true,true,false,true,true,false,One year,true,Mailed check,102.17,6743.22,false
CUST-00023,Female,0,false,false,65,false,true,DSL,false,true,true,true,false,true,Two year,true,Mailed check,100.42,6527.3,false
CUST-00024,Female,0,false,true,49,false,true,No,true,false,true,true,true,false,Month-to-month,true,Credit card (automatic),75.82,3715.18,true
CUST-00025,Female,0,true,true,32,false,true,Fiber optic,false,true,false,false,true,true,Two year,false,Credit card (automatic),47.25,1512,false
CUST-00026,Female,0,true,false,22,false,false,DSL,true,true,false,false,false,false,One year,true,Bank transfer (automatic),50.26,1105.72,false
CUST-00027,Female,0,false,false,57,true,true,No,false,true,false,false,false,true,Month-to-month,true,Mailed check,99.24,5656.68,false
CUST-00028,Female,0,false,false,46,true,true,Fiber optic,false,true,true,false,true,true,Month-to-month,true,Mailed check,30.69,1411.74,false
CUST-00029,Female,0,false,false,68,true,true,Fiber optic,false,true,true,true,true,false,One year,true,Mailed check,54.17,3683.56,true
CUST-00030,Male,0,false,false,60,true,false,Fiber optic,true,false,true,false,false,true,One year,false,Credit card (automatic),54.79,3287.4,false
CUST-00031,Female,1,false,false,48,true,false,Fiber optic,false,true,true,true,true,true,Month-to-month,false,Bank transfer (automatic),95.59,4588.32,false
CUST-00032,Male,0,false,false,52,true,true,No,false,true,true,false,true,false,Month-to-month,false,Bank transfer (automatic),74.81,3890.12,false
CUST-00033,Female,1,false,true,15,false,true,DSL,true,false,true,true,true,true,One year,false,Electronic check,80.65,1209.75,false
CUST-00034,Male,0,false,false,48,true,false,Fiber optic,true,false,true,true,true,false,Month-to-month,true,Credit card (automatic),106.09,5092.32,false
CUST-00035,Female,0,true,false,15,true,true,Fiber optic,false,false,false,false,true,false,One year,true,Credit card (automatic),29.77,446.55,false
CUST-00036,Male,0,true,true,6,false,true,DSL,false,true,true,false,true,false,Two year,true,Electronic check,27.9,167.4,false
CUST-00037,Male,1,true,true,3,false,true,DSL,false,true,true,false,false,false,One year,false,Mailed check,70.25,210.75,true
CUST-00038,Female,0,true,false,29,true,true,Fiber optic,true,false,false,true,false,true,Two year,false,Mailed check,101.18,2934.22,false
CUST-00039,Male,1,true,false,46,false,true,Fiber optic,false,true,false,true,false,false,One year,true,Electronic check,47.38,2179.48,false
CUST-00040,Female,0,false,true,46,true,true,Fiber optic,true,false,false,true,false,true,Month-to-month,true,Electronic check,67.79,3118.34,false
CUST-00041,Female,0,false,true,52,true,false,Fiber optic,false,true,false,true,false,true,One year,true,Bank transfer (automatic),84.68,4403.36,false
CUST-00042,Male,0,false,false,44,false,true,DSL,true,true,true,false,false,false,One year,false,Electronic check,38.13,1677.72,true
CUST-00043,Female,0,false,false,50,true,true,No,true,false,false,false,false,false,Two year,false,Bank transfer (automatic),111.66,5583,false
CUST-00044,Male,0,true,false,70,true,true,No,false,true,true,true,false,false,Two year,true,Electronic check,43.14,3019.8,false
CUST-00045,Female,0,false,false,47,false,true,No,false,false,false,true,true,true,One year,false,Bank transfer (automatic),68,3196,false
CUST-00046,Female,0,false,false,72,true,false,Fiber optic,false,false,false,true,false,false,Month-to-month,false,Credit card (automatic),52.92,3810.24,true
CUST-00047,Female,0,false,false,2,true,true,Fiber optic,false,true,false,false,false,false,Two year,false,Mailed check,101.52,203.04,false
CUST-00048,Female,1,true,true,27,false,true,Fiber optic,true,false,true,true,true,false,Two year,false,Credit card (automatic),82.82,2236.14,false
CUST-00049,Female,0,true,true,72,false,true,Fiber optic,false,true,false,true,true,false,One year,true,Mailed check,70.74,5093.28,false
CUST-00050,Male,1,true,false,66,true,true,No,false,false,true,true,false,false,Month-to-month,true,Credit card (automatic),100.87,6657.42,true
CUST-00051,Male,0,false,false,71,false,true,No,true,true,false,false,true,false,Two year,true,Electronic check,95.15,6755.65,false
CUST-00052,Male,0,false,true,43,true,true,DSL,false,false,true,true,false,false,Two year,false,Mailed check,105.97,4556.71,false
CUST-00053,Male,0,true,true,23,true,true,No,true,false,false,true,false,true,One year,true,Credit card (automatic),95.96,2207.08,false
CUST-00054,Male,1,false,true,61,false,false,No,false,true,true,false,true,true,One year,false,Electronic check,67.72,4130.92,false
CUST-00055,Male,0,true,false,13,true,false,DSL,false,false,false,false,false,false,Two year,true,Bank transfer (automatic),23.7,308.1,false
CUST-00056,Female,1,false,true,20,false,true,DSL,false,false,true,true,true,false,Two year,true,Credit card (automatic),98.22,1964.4,false
CUST-00057,Female,0,false,true,49,false,false,Fiber optic,true,false,false,true,false,false,Two year,true,Credit card (automatic),66.41,3254.09,false
CUST-00058,Male,1,false,false,21,false,true,DSL,false,true,true,true,false,true,Two year,true,Credit card (automatic),46.51,976.71,false
CUST-00059,Female,0,false,false,45,true,true,No,false,true,false,true,false,false,Two year,true,Electronic check,38.03,1711.35,false
CUST-00060,Male,0,false,true,38,false,true,DSL,true,false,true,true,false,false,One year,true,Mailed check,56.3,2139.4,false
CUST-00061,Female,0,false,false,52,true,true,Fiber optic,false,true,false,false,true,true,One year,true,Bank transfer (automatic),40.66,2114.32,false
CUST-00062,Male,1,false,false,41,false,true,No,true,true,false,true,true,true,One year,true,Bank transfer (automatic),111.94,4589.54,false
CUST-00063,Female,0,true,true,5,true,true,Fiber optic,false,true,false,true,false,true,One year,false,Credit card (automatic),20.94,104.7,false
CUST-00064,Male,0,true,true,60,false,true,DSL,true,true,true,false,true,true,Month-to-month,false,Electronic check,20.84,1250.4,false
CUST-00065,Female,0,true,true,1,true,true,Fiber optic,true,true,false,true,false,true,Month-to-month,false,Bank transfer (automatic),68.53,68.53,true
CUST-00066,Male,0,false,false,38,false,false,No,true,false,true,false,true,false,One year,false,Bank transfer (automatic),102.11,3880.18,true
CUST-00067,Female,0,true,false,26,false,true,Fiber optic,true,false,false,false,true,false,One year,true,Credit card (automatic),25.15,653.9,false
CUST-00068,Male,0,false,true,49,false,false,Fiber optic,true,true,true,true,false,true,Two year,false,Mailed check,37.05,1815.45,false
CUST-00069,Female,0,false,true,55,false,false,Fiber optic,false,true,true,true,false,true,One year,true,Electronic check,31.46,1730.3,false
CUST-00070,Male,0,true,false,43,true,true,No,false,true,true,true,true,false,Month-to-month,false,Mailed check,98.64,4241.52,false
CUST-00071,Male,0,true,false,46,false,false,DSL,false,true,true,false,false,true,Two year,true,Bank transfer (automatic),67.9,3123.4,false
CUST-00072,Male,0,true,false,30,false,false,Fiber optic,true,false,false,false,true,true,One year,false,Electronic check,20.27,608.1,false
CUST-00073,Male,0,false,true,64,false,false,No,true,true,false,true,true,false,Two year,true,Bank transfer (automatic),39.02,2497.28,false
CUST-00074,Female,0,true,false,9,false,false,DSL,true,false,true,false,false,false,Two year,true,Mailed check,110.18,991.62,false
CUST-00075,Female,0,false,false,19,false,false,No,true,false,true,false,true,false,Two year,true,Electronic check,71.71,1362.49,false
CUST-00076,Male,0,false,true,6,true,false,Fiber optic,false,false,true,true,false,true,Month-to-month,false,Mailed check,29.2,175.2,false
CUST-00077,Male,0,false,false,41,true,false,No,false,false,false,false,true,false,One year,false,Mailed check,81.47,3340.27,false
CUST-00078,Female,0,false,true,31,false,true,DSL,true,false,true,false,false,false,Two year,false,Electronic check,79.88,2476.28,false
CUST-00079,Female,0,false,false,70,false,false,No,false,true,true,true,false,true,One year,true,Bank transfer (automatic),105.58,7390.6,false
CUST-00080,Male,0,true,false,45,true,true,No,false,false,false,false,false,true,Two year,true,Credit card (automatic),84.2,3789,false
CUST-00081,Male,0,true,true,29,true,true,No,true,true,false,true,false,true,Month-to-month,true,Electronic check,33.99,985.71,false
CUST-00082,Male,0,false,false,44,true,false,DSL,false,false,true,true,true,true,One year,false,Credit card (automatic),52.49,2309.56,false
CUST-00083,Female,0,false,false,16,true,false,DSL,true,true,true,true,false,true,One year,false,Bank transfer (automatic),96.89,1550.24,false
CUST-00084,Female,0,false,false,56,true,false,Fiber optic,false,true,true,true,false,false,Month-to-month,false,Bank transfer (automatic),38.77,2171.12,false
CUST-00085,Female,0,true,true,1,true,false,No,true,true,false,true,true,true,Month-to-month,true,Credit card (automatic),39.88,39.88,false
CUST-00086,Male,0,false,false,35,true,false,DSL,false,false,true,false,false,false,Month-to-month,false,Electronic check,95.9,3356.5,false
CUST-00087,Female,0,false,true,66,true,true,DSL,false,false,false,true,true,true,One year,true,Mailed check,38.81,2561.46,false
CUST-00088,Female,1,true,false,13,false,true,Fiber optic,true,false,true,true,true,true,One year,false,Mailed check,109.03,1417.39,false
CUST-00089,Male,0,false,true,18,true,false,Fiber optic,false,true,false,true,false,false,Two year,false,Electronic check,76.31,1373.58,false
CUST-00090,Female,0,false,false,59,false,false,Fiber optic,false,false,true,false,true,true,Two year,true,Credit card (automatic),24.5,1445.5,false
CUST-00091,Female,0,false,true,17,false,true,No,false,true,false,true,true,true,Two year,false,Mailed check,29.08,494.36,false
CUST-00092,Female,0,false,false,11,false,true,DSL,true,true,false,true,false,true,Month-to-month,true,Mailed check,52.9,581.9,false
CUST-00093,Female,0,true,true,27,true,true,No,true,false,true,true,false,false,One year,false,Mailed check,85.16,2299.32,false
CUST-00094,Female,0,false,false,43,true,false,No,true,true,false,false,false,false,Two year,true,Credit card (automatic),113.9,4897.7,false
