customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,0,28,1,1,0,0,1,0,0,0,1,2,1,0,112.17,3140.76,0
1,0,1,0,1,39,0,1,1,1,1,1,0,0,1,0,1,3,33.65,1312.35,0
2,0,0,1,1,32,0,1,2,1,1,0,1,0,0,2,0,2,112.13,3588.16,0
3,0,1,0,1,53,1,0,2,0,1,0,1,1,1,1,0,0,89.38,4737.14,0
4,1,0,0,1,7,1,1,2,1,0,0,0,0,1,1,1,1,38.16,267.12,0
5,0,1,0,1,44,1,0,1,0,0,1,0,1,0,2,0,1,51.06,2246.64,0
6,0,1,0,0,31,0,0,2,1,0,1,0,1,0,1,1,0,52.35,1622.85,0
7,0,0,1,0,19,0,0,1,0,0,1,0,1,0,1,1,3,58.99,1120.81,1
8,0,0,1,1,64,0,0,2,1,1,1,1,0,0,1,0,0,113.9,7289.6,1
9,1,1,1,1,27,1,1,1,1,0,0,1,0,0,1,0,3,20.6,556.2,0
10,1,0,1,0,67,1,1,2,0,0,0,1,1,0,0,0,3,32.12,2152.04,0
11,1,0,1,1,49,0,0,0,1,0,0,1,1,1,2,0,2,98.86,4844.14,0
12,0,0,1,1,57,1,0,2,0,1,0,1,0,1,0,0,3,24.76,1411.32,0
13,0,0,1,0,71,0,0,2,0,0,1,0,0,0,1,1,0,49.84,3538.64,0
14,1,1,0,1,42,1,0,0,0,0,1,1,1,1,2,0,1,25.75,1081.5,0
15,1,0,1,1,3,1,0,1,0,0,0,1,1,0,1,1,0,49.29,147.87,0
16,1,0,1,1,35,1,0,0,0,0,0,1,1,0,0,1,0,53.81,1883.35,0
17,1,1,0,0,57,0,1,1,1,0,1,0,1,1,1,0,2,94.14,5365.98,0
18,0,0,0,0,67,1,1,0,1,0,1,1,0,0,0,0,3,83.28,5579.76,1
19,0,0,0,1,26,0,0,0,0,1,0,1,0,1,1,1,0,59.4,1544.4,1
20,1,0,1,1,71,1,0,2,0,0,1,0,0,1,0,1,2,25.42,1804.82,0
21,0,0,0,1,31,0,1,1,1,0,0,1,1,0,0,0,3,52.23,1619.13,0
22,1,0,1,0,66,1,0,2,1,1,0,1,1,0,1,1,3,102.17,6743.22,0
23,0,0,0,0,65,0,1,0,0,1,1,1,0,1,2,1,3,100.42,6527.3,0
24,0,0,0,1,49,0,1,2,1,0,1,1,1,0,0,1,1,75.82,3715.18,1
25,0,0,1,1,32,0,1,1,0,1,0,0,1,1,2,0,1,47.25,1512.0,0
26,0,0,1,0,22,0,0,0,1,1,0,0,0,0,1,1,0,50.26,1105.72,0
27,0,0,0,0,57,1,1,2,0,1,0,0,0,1,0,1,3,99.24,5656.68,0
28,0,0,0,0,46,1,1,1,0,1,1,0,1,1,0,1,3,30.69,1411.74,0
29,0,0,0,0,68,1,1,1,0,1,1,1,1,0,1,1,3,54.17,3683.56,1
30,1,0,0,0,60,1,0,1,1,0,1,0,0,1,1,0,1,54.79,3287.4,0
31,0,1,0,0,48,1,0,1,0,1,1,1,1,1,0,0,0,95.59,4588.32,0
32,1,0,0,0,52,1,1,2,0,1,1,0,1,0,0,0,0,74.81,3890.12,0
33,0,1,0,1,15,0,1,0,1,0,1,1,1,1,1,0,2,80.65,1209.75,0
34,1,0,0,0,48,1,0,1,1,0,1,1,1,0,0,1,1,106.09,5092.32,0
35,0,0,1,0,15,1,1,1,0,0,0,0,1,0,1,1,1,29.77,446.55,0
36,1,0,1,1,6,0,1,0,0,1,1,0,1,0,2,1,2,27.9,167.4,0
37,1,1,1,1,3,0,1,0,0,1,1,0,0,0,1,0,3,70.25,210.75,1
38,0,0,1,0,29,1,1,1,1,0,0,1,0,1,2,0,3,101.18,2934.22,0
39,1,1,1,0,46,0,1,1,0,1,0,1,0,0,1,1,2,47.38,2179.48,0
40,0,0,0,1,46,1,1,1,1,0,0,1,0,1,0,1,2,67.79,3118.34,0
41,0,0,0,1,52,1,0,1,0,1,0,1,0,1,1,1,0,84.68,4403.36,0
42,1,0,0,0,44,0,1,0,1,1,1,0,0,0,1,0,2,38.13,1677.72,1
43,0,0,0,0,50,1,1,2,1,0,0,0,0,0,2,0,0,111.66,5583.0,0
44,1,0,1,0,70,1,1,2,0,1,1,1,0,0,2,1,2,43.14,3019.8,0
45,0,0,0,0,47,0,1,2,0,0,0,1,1,1,1,0,0,68.0,3196.0,0
46,0,0,0,0,72,1,0,1,0,0,0,1,0,0,0,0,1,52.92,3810.24,1
47,0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,0,3,101.52,203.04,0
48,0,1,1,1,27,0,1,1,1,0,1,1,1,0,2,0,1,82.82,2236.14,0
49,0,0,1,1,72,0,1,1,0,1,0,1,1,0,1,1,3,70.74,5093.28,0
50,1,1,1,0,66,1,1,2,0,0,1,1,0,0,0,1,1,100.87,6657.42,1
51,1,0,0,0,71,0,1,2,1,1,0,0,1,0,2,1,2,95.15,6755.65,0
52,1,0,0,1,43,1,1,0,0,0,1,1,0,0,2,0,3,105.97,4556.71,0
53,1,0,1,1,23,1,1,2,1,0,0,1,0,1,1,1,1,95.96,2207.08,0
54,1,1,0,1,61,0,0,2,0,1,1,0,1,1,1,0,2,67.72,4130.92,0
55,1,0,1,0,13,1,0,0,0,0,0,0,0,0,2,1,0,23.7,308.1,0
56,0,1,0,1,20,0,1,0,0,0,1,1,1,0,2,1,1,98.22,1964.4,0
57,0,0,0,1,49,0,0,1,1,0,0,1,0,0,2,1,1,66.41,3254.09,0
58,1,1,0,0,21,0,1,0,0,1,1,1,0,1,2,1,1,46.51,976.71,0
59,0,0,0,0,45,1,1,2,0,1,0,1,0,0,2,1,2,38.03,1711.35,0
60,1,0,0,1,38,0,1,0,1,0,1,1,0,0,1,1,3,56.3,2139.4,0
61,0,0,0,0,52,1,1,1,0,1,0,0,1,1,1,1,0,40.66,2114.32,0
62,1,1,0,0,41,0,1,2,1,1,0,1,1,1,1,1,0,111.94,4589.54,0
63,0,0,1,1,5,1,1,1,0,1,0,1,0,1,1,0,1,20.94,104.7,0
64,1,0,1,1,60,0,1,0,1,1,1,0,1,1,0,0,2,20.84,1250.4,0
65,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,68.53,68.53,1
66,1,0,0,0,38,0,0,2,1,0,1,0,1,0,1,0,0,102.11,3880.18,1
67,0,0,1,0,26,0,1,1,1,0,0,0,1,0,1,1,1,25.15,653.9,0
68,1,0,0,1,49,0,0,1,1,1,1,1,0,1,2,0,3,37.05,1815.45,0
69,0,0,0,1,55,0,0,1,0,1,1,1,0,1,1,1,2,31.46,1730.3,0
70,1,0,1,0,43,1,1,2,0,1,1,1,1,0,0,0,3,98.64,4241.52,0
71,1,0,1,0,46,0,0,0,0,1,1,0,0,1,2,1,0,67.9,3123.4,0
72,1,0,1,0,30,0,0,1,1,0,0,0,1,1,1,0,2,20.27,608.1,0
73,1,0,0,1,64,0,0,2,1,1,0,1,1,0,2,1,0,39.02,2497.28,0
74,0,0,1,0,9,0,0,0,1,0,1,0,0,0,2,1,3,110.18,991.62,0
75,0,0,0,0,19,0,0,2,1,0,1,0,1,0,2,1,2,71.71,1362.49,0
76,1,0,0,1,6,1,0,1,0,0,1,1,0,1,0,0,3,29.2,175.2,0
77,1,0,0,0,41,1,0,2,0,0,0,0,1,0,1,0,3,81.47,3340.27,0
78,0,0,0,1,31,0,1,0,1,0,1,0,0,0,2,0,2,79.88,2476.28,0
79,0,0,0,0,70,0,0,2,0,1,1,1,0,1,1,1,0,105.58,7390.6,0
80,1,0,1,0,45,1,1,2,0,0,0,0,0,1,2,1,1,84.2,3789.0,0
81,1,0,1,1,29,1,1,2,1,1,0,1,0,1,0,1,2,33.99,985.71,0
82,1,0,0,0,44,1,0,0,0,0,1,1,1,1,1,0,1,52.49,2309.56,0
83,0,0,0,0,16,1,0,0,1,1,1,1,0,1,1,0,0,96.89,1550.24,0
84,0,0,0,0,56,1,0,1,0,1,1,1,0,0,0,0,0,38.77,2171.12,0
85,0,0,1,1,1,1,0,2,1,1,0,1,1,1,0,1,1,39.88,39.88,0
86,1,0,0,0,35,1,0,0,0,0,1,0,0,0,0,0,2,95.9,3356.5,0
87,0,0,0,1,66,1,1,0,0,0,0,1,1,1,1,1,3,38.81,2561.46,0
88,0,1,1,0,13,0,1,1,1,0,1,1,1,1,1,0,3,109.03,1417.39,0
89,1,0,0,1,18,1,0,1,0,1,0,1,0,0,2,0,2,76.31,1373.58,0
90,0,0,0,0,59,0,0,1,0,0,1,0,1,1,2,1,1,24.5,1445.5,0
91,0,0,0,1,17,0,1,2,0,1,0,1,1,1,2,0,3,29.08,494.36,0
92,0,0,0,0,11,0,1,0,1,1,0,1,0,1,0,1,3,52.9,581.9,0
93,0,0,1,1,27,1,1,2,1,0,1,1,0,0,1,0,3,85.16,2299.32,0
94,0,0,0,0,43,1,0,2,1,1,0,0,0,0,2,1,1,113.9,4897.7,0
95,0,0,0,0,40,0,0,1,0,1,0,1,1,1,1,1,3,49.46,1978.4,0
